"dC_corr","dN"
-16.44,12.13
-17.2173858581022,13.58
-17.5199481300694,11.61
-17.88,12.71
-18.05553796744,11.51
-18.12,11.64
-18.22,11.57
-18.42,11.03
-18.42,11.67
-18.78,11.95
