"Source","MeandC_corr","SDdC_corr","MeandN","SDdN"
"gadipela",1.0780625,0.251301413048156,2.40408375,0.21810093247571
"bathy",1.0780625,0.251301413048156,2.40408375,0.21810093247571
"ceph1",1.0780625,0.251301413048156,2.40408375,0.21810093247571
"ceph2",1.0780625,0.251301413048156,2.40408375,0.21810093247571
"gela",1.0780625,0.251301413048156,2.40408375,0.21810093247571
