"dC_corr","dN"
-16.7151549384611,12.74
-16.7415703794137,13.21
-16.8228009952632,13.84
-16.96,13.67
-17.1316593693167,12.19
-17.2145293907194,12.85
-17.466990111929,12.64
-17.47,12.71
-17.6239391051538,11.78
-17.98,12.99
-18.08,12.71
-18.14,12.97
-18.16,12.27
-18.42,12.43
-18.4333924795689,11.38
-18.4999473721936,12.12
-18.5676196464905,13.05
