"Source","MeandC_corr","SDdC_corr","MeandN","SDdN","n"
"bathy",-19.6062,0.74868466,7.9674,0.873418296,156
"ceph1",-18.361,1.026286934,10.3064,1.213606126,95
"ceph2",-19.1857,0.698882501,9.4813,0.988827806,31
"gadipela",-18.735,0.947198395,8.9475,1.140394669,754
"gela",-19.2693,0.888192119,3.507,1.015550511,115
