"id";"left";"top";"right";"bottom";"centrdY";"centrdX";"swo";"pgo";"ioo";"all_sp"
36;-20.524;28.9955;-19.524;27.9955;28.496;-20.024;15.4059853016846;3.02940067628507;0.0737990393810901;18.5091850173507
37;-20.524;27.9955;-19.524;26.9955;27.496;-20.024;14.8666637814715;2.81588514194969;0.0943678511887142;17.7769167746099
38;-20.524;26.9955;-19.524;25.9955;26.496;-20.024;14.2420183280047;2.61790545180742;0.12067054442371;16.9805943242358
55;-19.524;29.9955;-18.524;28.9955;29.496;-19.024;15.6376438061477;3.29755375562163;0.117320280756826;19.0525178425261
56;-19.524;28.9955;-18.524;27.9955;28.496;-19.024;16.070015562171;3.26489465882832;0.153564838884568;19.4884750598839
57;-19.524;27.9955;-18.524;26.9955;27.496;-19.024;16.5118103312946;3.33432948069294;0.20100600550691;20.0471458174944
58;-19.524;26.9955;-18.524;25.9955;26.496;-19.024;16.9639162571531;3.46833996395184;0.26310276846237;20.6953589895673
75;-18.524;29.9955;-17.524;28.9955;29.496;-18.024;15.6039609698074;3.33703710456671;0.219844653252002;19.1608427276261
76;-18.524;28.9955;-17.524;27.9955;28.482;-18.036;16.8297809543691;3.4913142282459;0.291322128676293;20.6124173112913
77;-18.524;27.9955;-17.524;26.9955;27.488;-18.025;18.3493537305767;3.86506648239141;0.388824968260844;22.6032451812289
78;-18.524;26.9955;-17.524;25.9955;26.496;-18.024;20.1261219774398;4.41824981599652;0.515765787738808;25.0601375811751
95;-17.524;29.9955;-16.524;28.9955;29.496;-17.024;15.795715491306;3.38090585982537;0.341838721024815;19.5184600721562
96;-17.524;28.9955;-16.524;27.9955;28.544;-17.06;17.6012810333715;3.63640945141304;0.441514279233736;21.6792047640183
97;-17.524;27.9955;-16.524;26.9955;27.496;-17.024;20.3636133263756;4.25135765226349;0.598676916463707;25.2136478951028
98;-17.524;26.9955;-16.524;25.9955;26.496;-17.024;23.6618843114191;5.14415405820284;0.792255739812989;29.5982941094349
109;-16.524;35.9955;-15.524;34.9955;35.496;-16.024;13.6297058057052;5.57013764044389;0.0905459522739654;19.2903893984231
114;-16.524;30.9955;-15.524;29.9955;30.496;-16.024;14.6151186654448;3.39700219709658;0.310274745328208;18.3223956078696
115;-16.524;29.9955;-15.524;28.9955;29.496;-16.024;16.3534908565055;3.43156206147375;0.396924289534677;20.181977207514
116;-16.524;28.9955;-15.524;27.9955;28.522;-16.007;18.8982611731495;3.71891383568041;0.503779961252159;23.1209549700821
117;-16.524;27.9955;-15.524;26.9955;27.469;-16.049;22.6631302036338;4.34642527477047;0.656017439689014;27.6655729180933
118;-16.524;26.9955;-15.524;25.9955;26.496;-16.024;27.4261752018114;5.20287152304667;0.830861238206052;33.4599079630641
126;-15.524;38.9955;-14.524;37.9955;38.496;-15.024;17.2982412696317;5.95162947557217;0.0668526846236237;23.3167234298275
127;-15.524;37.9955;-14.524;36.9955;37.496;-15.024;15.6483394512186;5.515828069813;0.0797219083176088;21.2438894293492
128;-15.524;36.9955;-14.524;35.9955;36.496;-15.024;14.360356823414;5.11812146765243;0.0950690936584842;19.5735473847249
129;-15.524;35.9955;-14.524;34.9955;35.496;-15.024;13.5470470257522;4.74682182629364;0.113372388106319;18.4072412401521
130;-15.524;34.9955;-14.524;33.9955;34.496;-15.024;13.0980857116397;4.37283494722352;0.135201855039305;17.6061225139025
131;-15.524;33.9955;-14.524;32.9955;33.496;-15.024;13.0030499561478;4.02986134839768;0.161236597604061;17.1941479021496
134;-15.524;30.9955;-14.524;29.9955;30.496;-15.024;15.337358360111;3.44814572176474;0.27347648146458;19.0589805633403
135;-15.524;29.9955;-14.524;28.9955;29.496;-15.024;17.4113588472638;3.47130962246662;0.326139314669478;21.2088077843999
136;-15.524;28.9955;-14.524;27.9955;28.504;-15.015;20.5567335537154;3.64359872071367;0.386924313205286;24.5872565876344
137;-15.524;27.9955;-14.524;26.9955;27.484;-15.011;25.2125953752485;3.97395037897618;0.461744415339999;29.6482901695647
147;-14.524;37.9955;-13.524;36.9955;37.496;-14.024;14.8460637219937;4.72391370895892;0.114352810964216;19.6843302419168
148;-14.524;36.9955;-13.524;35.9955;36.496;-14.024;14.0460833443068;4.37325146876673;0.123710856682956;18.5430456697565
149;-14.524;35.9955;-13.524;34.9955;35.496;-14.024;13.5893085878657;4.11166313687827;0.133836751036288;17.8348084757803
